Date,District/City,Minimum Rate,Maximum Rate,Average Rate
12/25/2023,Chishtian,4000,4030,4015
12/25/2023,Chakwal,3870,4360,4115
12/25/2023,Chowk Munda,3660,4080,3870
12/25/2023,Dera Ghazi Khan,4070,4130,4100
12/25/2023,Dunga Bunga,3860,4360,4110
12/25/2023,Faisalabad,3630,4130,3880
12/25/2023,Faqirwali,4080,4350,4215
12/25/2023,Fazil Pur,4170,4340,4255
12/25/2023,Fortabbas,3720,3920,3820
12/25/2023,Gujranwala,3640,3780,3710
12/25/2023,Haroonabad,3610,3670,3640
12/25/2023,Hasilpur,3890,4090,3990
12/25/2023,Islamabad,4250,4400,4325
12/25/2023,Kahror Pakka,3700,3710,3705
12/25/2023,Khanpur,3690,4030,3860
12/25/2023,khanewal,3790,3960,3875
12/25/2023,Layyah,4020,4380,4200
12/25/2023,Lahore,3800,3820,3810
12/25/2023,Lodhran,4040,4120,4080
12/25/2023,Multan,3640,3800,3720
12/25/2023,Mianwali,3930,4360,4145
12/25/2023,Mian Channu,3800,4040,3920
12/25/2023,Minchanabad,3780,4120,3950
12/25/2023,Muzaffargarh,4190,4270,4230
12/25/2023,Okara,3770,4090,3930
12/25/2023,Pakpattan Sharif,3890,4160,4025
12/25/2023,Rahim Yar Khan,3910,4140,4025
12/25/2023,Rajanpur,4000,4100,4050
12/25/2023,Rawalpindi,4090,4110,4100
12/25/2023,Sadiqabad,3670,4340,4005
12/25/2023,Sargodha,4160,4370,4265
12/25/2023,Sheikhupura,3930,4000,3965
12/25/2023,Vehari,3850,4160,4005
12/25/2023,Naushahro Feroze,3640,4030,3835
12/25/2023,Shikarpur,4070,4090,4080
12/25/2023,Sukkur,4020,4150,4085
12/25/2023,Dadu,4030,4170,4100
12/25/2023,Hyderabad,3790,4260,4025
12/25/2023,Ghotki,3720,4140,3930
12/25/2023,Jhuddo,3830,3840,3835
12/25/2023,Karachi,4210,4230,4220
12/25/2023,Kunri,4140,4250,4195
12/25/2023,Larkana,3800,3810,3805
12/25/2023,Mehrabpur,4160,4230,4195
12/25/2023,Mirpur Khas,4010,4390,4200
12/25/2023,Nawab Shah,3630,4180,3905
12/25/2023,Sakrand,3650,3790,3720
12/25/2023,Sanghar,3610,3800,3705
12/25/2023,ShahdadPur,3810,4180,3995
12/25/2023,Tando Allah Yar,3870,4030,3950
12/25/2023,Tando Muhammad Khan,3620,4190,3905
12/25/2023,Sibi,3960,4110,4035
12/25/2023,Quetta,3730,4080,3905
12/25/2023,Bara,3690,4150,3920
12/25/2023,Landi Kotal,4030,4300,4165
12/26/2023,Bunner,3800,4320,4060
12/26/2023,Mardan,3640,3750,3695
12/26/2023,Peshawar,3800,4380,4090
12/26/2023,Arifwala,3760,3760,3760
12/26/2023,Chowk Azam,3830,4260,4045
12/26/2023,Pattoki,3780,4320,4050
12/26/2023,Sahiwal,3660,4140,3900
12/26/2023,Gojra,4070,4110,4090
12/26/2023,Kamalia,3750,3940,3845
12/26/2023,Kasur,4010,4060,4035
12/26/2023,Shorkot,3630,3790,3710
12/26/2023,Sialkot,3770,4100,3935
12/26/2023,Ali Pur,4270,4310,4290
12/26/2023,AhmadPur Sharqia,3690,4360,4025
12/26/2023,Bahawalnagar,3710,4020,3865
12/26/2023,Bahawalpur,3640,3640,3640
12/26/2023,Bhakkar,3650,4180,3915
12/26/2023,Burewala,3920,3920,3920
12/26/2023,Chichawatni,3750,4060,3905
12/26/2023,Chishtian,3800,4210,4005
12/26/2023,Chakwal,3830,3990,3910
12/26/2023,Chowk Munda,3740,4090,3915
12/26/2023,Dera Ghazi Khan,3630,3990,3810
12/26/2023,Dunga Bunga,3690,4370,4030
12/26/2023,Faisalabad,3670,3790,3730
12/26/2023,Faqirwali,3710,4330,4020
12/26/2023,Fazil Pur,4180,4230,4205
12/26/2023,Fortabbas,4330,4370,4350
12/26/2023,Gujranwala,4180,4310,4245
12/26/2023,Haroonabad,4060,4210,4135
12/26/2023,Hasilpur,4220,4390,4305
12/26/2023,Islamabad,4020,4330,4175
12/26/2023,Kahror Pakka,4310,4380,4345
12/26/2023,Khanpur,4110,4170,4140
12/26/2023,khanewal,3760,4360,4060
12/26/2023,Layyah,3760,3960,3860
12/26/2023,Lahore,3720,3730,3725
12/26/2023,Lodhran,4030,4170,4100
12/26/2023,Multan,3800,3840,3820
12/26/2023,Mianwali,3780,3990,3885
12/26/2023,Mian Channu,3760,3990,3875
12/26/2023,Minchanabad,3690,4130,3910
12/26/2023,Muzaffargarh,3700,4200,3950
12/26/2023,Okara,3710,4080,3895
12/26/2023,Pakpattan Sharif,3900,4170,4035
12/26/2023,Rahim Yar Khan,3750,4330,4040
12/26/2023,Rajanpur,4240,4280,4260
12/26/2023,Rawalpindi,3980,4190,4085
12/26/2023,Sadiqabad,4040,4230,4135
12/26/2023,Sargodha,3840,3920,3880
12/26/2023,Sheikhupura,4060,4340,4200
12/26/2023,Vehari,3860,4000,3930
12/26/2023,Naushahro Feroze,3620,4310,3965
12/26/2023,Shikarpur,4030,4320,4175
12/26/2023,Sukkur,3970,4350,4160
12/26/2023,Dadu,4140,4390,4265
12/26/2023,Hyderabad,3760,4330,4045
12/26/2023,Ghotki,3790,3990,3890
12/26/2023,Jhuddo,3700,3910,3805
12/26/2023,Karachi,3800,4090,3945
12/26/2023,Kunri,3960,4170,4065
12/26/2023,Larkana,3930,4200,4065
12/26/2023,Mehrabpur,3730,3890,3810
12/26/2023,Mirpur Khas,3790,4140,3965
12/26/2023,Nawab Shah,3750,3840,3795
12/26/2023,Sakrand,3850,4320,4085
12/26/2023,Sanghar,3830,4010,3920
12/26/2023,ShahdadPur,4290,4380,4335
12/26/2023,Tando Allah Yar,4030,4380,4205
12/26/2023,Tando Muhammad Khan,3650,3900,3775
12/26/2023,Sibi,4180,4200,4190
12/26/2023,Quetta,3880,4010,3945
12/26/2023,Bara,3760,3950,3855
12/26/2023,Landi Kotal,3910,4210,4060
12/27/2023,Bunner,4040,4100,4070
12/27/2023,Mardan,4080,4140,4110
12/27/2023,Peshawar,3630,4130,3880
12/27/2023,Arifwala,3750,3900,3825
12/27/2023,Chowk Azam,3650,4400,4025
12/27/2023,Pattoki,3880,4380,4130
12/27/2023,Sahiwal,3960,4240,4100
12/27/2023,Gojra,3790,3800,3795
12/27/2023,Kamalia,3720,3850,3785
12/27/2023,Kasur,3840,4040,3940
12/27/2023,Shorkot,4070,4370,4220
12/27/2023,Sialkot,3630,3780,3705
12/27/2023,Ali Pur,3810,3910,3860
12/27/2023,AhmadPur Sharqia,4020,4220,4120
12/27/2023,Bahawalnagar,3810,4010,3910
12/27/2023,Bahawalpur,4030,4050,4040
12/27/2023,Bhakkar,4100,4330,4215
12/27/2023,Burewala,3650,4000,3825
12/27/2023,Chichawatni,3960,4340,4150
12/27/2023,Chishtian,3840,4110,3975
12/27/2023,Chakwal,3740,3900,3820
12/27/2023,Chowk Munda,3800,3950,3875
12/27/2023,Dera Ghazi Khan,4120,4130,4125
12/27/2023,Dunga Bunga,3630,4090,3860
12/27/2023,Faisalabad,3910,4360,4135
12/27/2023,Faqirwali,4050,4290,4170
12/27/2023,Fazil Pur,4280,4390,4335
12/27/2023,Fortabbas,3980,4300,4140
12/27/2023,Gujranwala,3690,3930,3810
12/27/2023,Haroonabad,3830,4210,4020
12/27/2023,Hasilpur,3980,4190,4085
12/27/2023,Islamabad,3990,4060,4025
12/27/2023,Kahror Pakka,3700,4230,3965
12/27/2023,Khanpur,4340,4380,4360
12/27/2023,khanewal,4070,4350,4210
12/27/2023,Layyah,3820,4390,4105
12/27/2023,Lahore,3980,4270,4125
12/27/2023,Lodhran,3990,4130,4060
12/27/2023,Multan,3840,4310,4075
12/27/2023,Mianwali,3980,3980,3980
12/27/2023,Mian Channu,3800,4350,4075
12/27/2023,Minchanabad,3660,4150,3905
12/27/2023,Muzaffargarh,3720,4230,3975
12/27/2023,Okara,3830,3860,3845
12/27/2023,Pakpattan Sharif,3890,4300,4095
12/27/2023,Rahim Yar Khan,3940,4090,4015
12/27/2023,Rajanpur,4020,4360,4190
12/27/2023,Rawalpindi,3940,4000,3970
12/27/2023,Sadiqabad,3720,3950,3835
12/27/2023,Sargodha,3690,4220,3955
12/27/2023,Sheikhupura,3920,4360,4140
12/27/2023,Vehari,3800,4340,4070
12/27/2023,Naushahro Feroze,3660,4230,3945
12/27/2023,Shikarpur,3790,4140,3965
12/27/2023,Sukkur,3730,4370,4050
12/27/2023,Dadu,4210,4310,4260
12/27/2023,Hyderabad,4060,4300,4180
12/27/2023,Ghotki,3630,4250,3940
12/27/2023,Jhuddo,4010,4160,4085
12/27/2023,Karachi,3670,3770,3720
12/27/2023,Kunri,3940,4240,4090
12/27/2023,Larkana,4090,4200,4145
12/27/2023,Mehrabpur,3730,4280,4005
12/27/2023,Mirpur Khas,3630,3940,3785
12/27/2023,Nawab Shah,3740,3880,3810
12/27/2023,Sakrand,3780,4170,3975
12/27/2023,Sanghar,3870,4000,3935
12/27/2023,ShahdadPur,3610,4290,3950
12/27/2023,Tando Allah Yar,3740,3840,3790
12/27/2023,Tando Muhammad Khan,3680,4060,3870
12/27/2023,Sibi,4150,4250,4200
12/27/2023,Quetta,3660,4210,3935
12/27/2023,Bara,3950,4050,4000
12/27/2023,Landi Kotal,3680,3720,3700
12/28/2023,Bunner,4020,4080,4050
12/28/2023,Mardan,3870,4340,4105
12/28/2023,Peshawar,3800,3910,3855
12/28/2023,Arifwala,3610,3840,3725
12/28/2023,Chowk Azam,3660,3850,3755
12/28/2023,Pattoki,3750,3960,3855
12/28/2023,Sahiwal,3750,3940,3845
12/28/2023,Gojra,3910,4110,4010
12/28/2023,Kamalia,3800,4030,3915
12/28/2023,Kasur,4080,4310,4195
12/28/2023,Shorkot,3670,3860,3765
12/28/2023,Sialkot,3950,4300,4125
12/28/2023,Ali Pur,3810,3930,3870
12/28/2023,AhmadPur Sharqia,3900,4080,3990
12/28/2023,Bahawalnagar,3880,3900,3890
12/28/2023,Bahawalpur,3910,4300,4105
12/28/2023,Bhakkar,3880,3980,3930
12/28/2023,Burewala,3640,3850,3745
12/28/2023,Chichawatni,4040,4320,4180
12/28/2023,Chishtian,3760,4360,4060
12/28/2023,Chakwal,3750,3880,3815
12/28/2023,Chowk Munda,3710,3950,3830
12/28/2023,Dera Ghazi Khan,3640,3940,3790
12/28/2023,Dunga Bunga,3770,4320,4045
12/28/2023,Faisalabad,3640,4250,3945
12/28/2023,Faqirwali,4010,4160,4085
12/28/2023,Fazil Pur,3910,4190,4050
12/28/2023,Fortabbas,3690,3990,3840
12/28/2023,Gujranwala,3610,4020,3815
12/28/2023,Haroonabad,3680,3960,3820
12/28/2023,Hasilpur,3610,3950,3780
12/28/2023,Islamabad,3610,4040,3825
12/28/2023,Kahror Pakka,4160,4220,4190
12/28/2023,Khanpur,3800,4350,4075
12/28/2023,khanewal,4110,4200,4155
12/28/2023,Layyah,3850,4220,4035
12/28/2023,Lahore,4060,4130,4095
12/28/2023,Lodhran,3630,4310,3970
12/28/2023,Multan,3750,3940,3845
12/28/2023,Mianwali,3960,4330,4145
12/28/2023,Mian Channu,4260,4300,4280
12/28/2023,Minchanabad,3710,4170,3940
12/28/2023,Muzaffargarh,3720,3980,3850
12/28/2023,Okara,3780,4380,4080
12/28/2023,Pakpattan Sharif,3650,4140,3895
12/28/2023,Rahim Yar Khan,3960,4030,3995
12/28/2023,Rajanpur,3890,4390,4140
12/28/2023,Rawalpindi,4150,4280,4215
12/28/2023,Sadiqabad,4040,4210,4125
12/28/2023,Sargodha,3660,4220,3940
12/28/2023,Sheikhupura,3600,4150,3875
12/28/2023,Vehari,3760,4080,3920
12/28/2023,Naushahro Feroze,3640,4150,3895
12/28/2023,Shikarpur,3610,4310,3960
12/28/2023,Sukkur,3780,4290,4035
12/28/2023,Dadu,3750,3890,3820
12/28/2023,Hyderabad,3730,4090,3910
12/28/2023,Ghotki,3870,4280,4075
12/28/2023,Jhuddo,3610,4400,4005
12/28/2023,Karachi,3720,3880,3800
12/28/2023,Kunri,3850,4090,3970
12/28/2023,Larkana,3970,4340,4155
12/28/2023,Mehrabpur,3960,4360,4160
12/28/2023,Mirpur Khas,3620,4010,3815
12/28/2023,Nawab Shah,3800,4100,3950
12/28/2023,Sakrand,3660,4180,3920
12/28/2023,Sanghar,3930,4070,4000
12/28/2023,ShahdadPur,4100,4210,4155
12/28/2023,Tando Allah Yar,3680,4090,3885
12/28/2023,Tando Muhammad Khan,3680,3890,3785
12/28/2023,Sibi,3920,4190,4055
12/28/2023,Quetta,3820,4310,4065
12/28/2023,Bara,3680,3880,3780
12/28/2023,Landi Kotal,3860,3980,3920
12/29/2023,Bunner,3760,3850,3805
12/29/2023,Mardan,3770,3980,3875
12/29/2023,Peshawar,4000,4330,4165
12/29/2023,Arifwala,3680,4240,3960
12/29/2023,Chowk Azam,3770,4180,3975
12/29/2023,Pattoki,3910,4150,4030
12/29/2023,Sahiwal,3850,3930,3890
12/29/2023,Gojra,3770,4260,4015
12/29/2023,Kamalia,3820,4270,4045
12/29/2023,Kasur,3960,4240,4100
12/29/2023,Shorkot,3900,3970,3935
12/29/2023,Sialkot,3930,4260,4095
12/29/2023,Ali Pur,3630,3800,3715
12/29/2023,AhmadPur Sharqia,3690,4100,3895
12/29/2023,Bahawalnagar,3980,4360,4170
12/29/2023,Bahawalpur,4010,4360,4185
12/29/2023,Bhakkar,3690,3980,3835
12/29/2023,Burewala,4090,4230,4160
12/29/2023,Chichawatni,3780,3820,3800
12/29/2023,Chishtian,4250,4260,4255
12/29/2023,Chakwal,3980,4110,4045
12/29/2023,Chowk Munda,3850,4130,3990
12/29/2023,Dera Ghazi Khan,3960,4240,4100
12/29/2023,Dunga Bunga,3820,4170,3995
12/29/2023,Faisalabad,3780,4160,3970
12/29/2023,Faqirwali,3810,4130,3970
12/29/2023,Fazil Pur,3680,3890,3785
12/29/2023,Fortabbas,4090,4300,4195
12/29/2023,Gujranwala,4060,4100,4080
12/29/2023,Haroonabad,4090,4090,4090
12/29/2023,Hasilpur,3840,4060,3950
12/29/2023,Islamabad,3780,3940,3860
12/29/2023,Kahror Pakka,3940,4340,4140
12/29/2023,Khanpur,4260,4370,4315
12/29/2023,khanewal,4000,4380,4190
12/29/2023,Layyah,3840,4200,4020
12/29/2023,Lahore,4120,4190,4155
12/29/2023,Lodhran,3830,4100,3965
12/29/2023,Multan,4000,4020,4010
12/29/2023,Mianwali,4110,4350,4230
12/29/2023,Mian Channu,4170,4360,4265
12/29/2023,Minchanabad,3750,3900,3825
12/29/2023,Muzaffargarh,3760,4200,3980
12/29/2023,Okara,3770,3900,3835
12/29/2023,Pakpattan Sharif,3740,3960,3850
12/29/2023,Rahim Yar Khan,3730,3850,3790
12/29/2023,Rajanpur,3940,4110,4025
12/29/2023,Rawalpindi,4000,4110,4055
12/29/2023,Sadiqabad,3670,4110,3890
12/29/2023,Sargodha,4170,4380,4275
12/29/2023,Sheikhupura,4000,4250,4125
12/29/2023,Vehari,3720,4290,4005
12/29/2023,Naushahro Feroze,3610,3990,3800
12/29/2023,Shikarpur,3660,4230,3945
12/29/2023,Sukkur,3720,4190,3955
12/29/2023,Dadu,4190,4350,4270
12/29/2023,Hyderabad,3840,4200,4020
12/29/2023,Ghotki,3920,3940,3930
12/29/2023,Jhuddo,3790,3960,3875
12/29/2023,Karachi,4140,4150,4145
12/29/2023,Kunri,3720,4360,4040
12/29/2023,Larkana,3770,3800,3785
12/29/2023,Mehrabpur,3730,3970,3850
12/29/2023,Mirpur Khas,3750,3820,3785
12/29/2023,Nawab Shah,4060,4130,4095
12/29/2023,Sakrand,3980,4350,4165
12/29/2023,Sanghar,3680,4150,3915
12/29/2023,ShahdadPur,4030,4280,4155
12/29/2023,Tando Allah Yar,3760,3790,3775
12/29/2023,Tando Muhammad Khan,4080,4360,4220
12/29/2023,Sibi,3830,4290,4060
12/29/2023,Quetta,4180,4210,4195
12/29/2023,Bara,3790,4310,4050
12/29/2023,Landi Kotal,3770,4310,4040
12/30/2023,Bunner,4020,4230,4125
12/30/2023,Mardan,3650,4280,3965
12/30/2023,Peshawar,3640,4380,4010
12/30/2023,Arifwala,3820,3890,3855
12/30/2023,Chowk Azam,3630,3860,3745
12/30/2023,Pattoki,3600,3700,3650
12/30/2023,Sahiwal,4110,4180,4145
12/30/2023,Gojra,3770,4190,3980
12/30/2023,Kamalia,3660,4250,3955
12/30/2023,Kasur,3790,3900,3845
12/30/2023,Shorkot,3910,4350,4130
12/30/2023,Sialkot,3680,4240,3960
12/30/2023,Ali Pur,3620,3730,3675
12/30/2023,AhmadPur Sharqia,4060,4350,4205
12/30/2023,Bahawalnagar,4110,4170,4140
12/30/2023,Bahawalpur,4000,4190,4095
12/30/2023,Bhakkar,3740,4070,3905
12/30/2023,Burewala,3650,4130,3890
12/30/2023,Chichawatni,3860,4330,4095
12/30/2023,Chishtian,3880,4360,4120
12/30/2023,Chakwal,3680,4050,3865
12/30/2023,Chowk Munda,4110,4180,4145
12/30/2023,Dera Ghazi Khan,3920,4380,4150
12/30/2023,Dunga Bunga,3750,3760,3755
12/30/2023,Faisalabad,3780,4180,3980
12/30/2023,Faqirwali,3610,3890,3750
12/30/2023,Fazil Pur,3810,4210,4010
12/30/2023,Fortabbas,3700,4400,4050
12/30/2023,Gujranwala,4110,4200,4155
12/30/2023,Haroonabad,4070,4100,4085
12/30/2023,Hasilpur,3650,4040,3845
12/30/2023,Islamabad,3820,4210,4015
12/30/2023,Kahror Pakka,3680,3820,3750
12/30/2023,Khanpur,3690,4230,3960
12/30/2023,khanewal,3840,3950,3895
12/30/2023,Layyah,4020,4340,4180
12/30/2023,Lahore,4030,4030,4030
12/30/2023,Lodhran,3720,4370,4045
12/30/2023,Multan,3880,4050,3965
12/30/2023,Mianwali,4170,4400,4285
12/30/2023,Mian Channu,4020,4260,4140
12/30/2023,Minchanabad,4080,4390,4235
12/30/2023,Muzaffargarh,3670,4220,3945
12/30/2023,Okara,3720,3780,3750
12/30/2023,Pakpattan Sharif,3730,3880,3805
12/30/2023,Rahim Yar Khan,3700,3800,3750
12/30/2023,Rajanpur,4090,4150,4120
12/30/2023,Rawalpindi,4210,4250,4230
12/30/2023,Sadiqabad,3850,4210,4030
12/30/2023,Sargodha,4070,4080,4075
12/30/2023,Sheikhupura,3780,4090,3935
12/30/2023,Vehari,3630,3670,3650
12/30/2023,Naushahro Feroze,4040,4280,4160
12/30/2023,Shikarpur,3650,3980,3815
12/30/2023,Sukkur,3870,3960,3915
12/30/2023,Dadu,4070,4370,4220
12/30/2023,Hyderabad,3860,4090,3975
12/30/2023,Ghotki,3850,4010,3930
12/30/2023,Jhuddo,4020,4160,4090
12/30/2023,Karachi,3620,3740,3680
12/30/2023,Kunri,3710,3810,3760
12/30/2023,Larkana,3640,4040,3840
12/30/2023,Mehrabpur,3650,4320,3985
12/30/2023,Mirpur Khas,3620,4130,3875
12/30/2023,Nawab Shah,3850,3890,3870
12/30/2023,Sakrand,3870,4240,4055
12/30/2023,Sanghar,3710,4110,3910
12/30/2023,ShahdadPur,3650,4270,3960
12/30/2023,Tando Allah Yar,3640,3930,3785
12/30/2023,Tando Muhammad Khan,3670,3990,3830
12/30/2023,Sibi,3850,4180,4015
12/30/2023,Quetta,3990,4050,4020
12/30/2023,Bara,3760,4110,3935
12/30/2023,Landi Kotal,3750,3770,3760
12/31/2023,Bunner,3670,4290,3980
12/31/2023,Mardan,3690,4160,3925
12/31/2023,Peshawar,3630,4340,3985
12/31/2023,Arifwala,3640,3910,3775
12/31/2023,Chowk Azam,3880,3910,3895
12/31/2023,Pattoki,3790,4150,3970
12/31/2023,Sahiwal,3820,4300,4060
12/31/2023,Gojra,3740,4100,3920
12/31/2023,Kamalia,4040,4180,4110
12/31/2023,Kasur,4310,4380,4345
12/31/2023,Shorkot,3800,3900,3850
12/31/2023,Sialkot,3660,4010,3835
12/31/2023,Ali Pur,3680,4190,3935
12/31/2023,AhmadPur Sharqia,4010,4310,4160
12/31/2023,Bahawalnagar,4050,4320,4185
12/31/2023,Bahawalpur,4160,4330,4245
12/31/2023,Bhakkar,3720,4240,3980
12/31/2023,Burewala,3610,4030,3820
12/31/2023,Chichawatni,4080,4110,4095
12/31/2023,Chishtian,3700,4310,4005
12/31/2023,Chakwal,3960,4180,4070
12/31/2023,Chowk Munda,3610,4200,3905
12/31/2023,Dera Ghazi Khan,3630,4340,3985
12/31/2023,Dunga Bunga,3820,4000,3910
12/31/2023,Faisalabad,3660,4310,3985
12/31/2023,Faqirwali,3750,4280,4015
12/31/2023,Fazil Pur,3750,4300,4025
12/31/2023,Fortabbas,3770,3840,3805
12/31/2023,Gujranwala,3690,3840,3765
12/31/2023,Haroonabad,4200,4330,4265
12/31/2023,Hasilpur,3880,4340,4110
12/31/2023,Islamabad,3800,4010,3905
12/31/2023,Kahror Pakka,3730,3910,3820
12/31/2023,Khanpur,4150,4390,4270
12/31/2023,khanewal,3840,4170,4005
12/31/2023,Layyah,3670,4250,3960
12/31/2023,Lahore,3940,4280,4110
12/31/2023,Lodhran,3630,4130,3880
12/31/2023,Multan,3760,3920,3840
12/31/2023,Mianwali,3870,4000,3935
12/31/2023,Mian Channu,3780,4290,4035
12/31/2023,Minchanabad,3870,4170,4020
12/31/2023,Muzaffargarh,3920,4220,4070
12/31/2023,Okara,3680,4140,3910
12/31/2023,Pakpattan Sharif,3670,4150,3910
12/31/2023,Rahim Yar Khan,3820,3850,3835
12/31/2023,Rajanpur,4000,4090,4045
12/31/2023,Rawalpindi,3740,3820,3780
12/31/2023,Sadiqabad,3770,4400,4085
12/31/2023,Sargodha,3840,4270,4055
12/31/2023,Sheikhupura,4140,4190,4165
12/31/2023,Vehari,3820,4260,4040
12/31/2023,Naushahro Feroze,3610,3970,3790
12/31/2023,Shikarpur,3760,4350,4055
12/31/2023,Sukkur,3990,4350,4170
12/31/2023,Dadu,3950,4030,3990
12/31/2023,Hyderabad,3890,4040,3965
12/31/2023,Ghotki,3750,4180,3965
12/31/2023,Jhuddo,4080,4170,4125
12/31/2023,Karachi,3740,3880,3810
12/31/2023,Kunri,3720,4130,3925
12/31/2023,Larkana,3610,4170,3890
12/31/2023,Mehrabpur,4120,4250,4185
12/31/2023,Mirpur Khas,3620,3900,3760
12/31/2023,Nawab Shah,4010,4090,4050
12/31/2023,Sakrand,3670,4350,4010
12/31/2023,Sanghar,3830,3930,3880
12/31/2023,ShahdadPur,4120,4180,4150
12/31/2023,Tando Allah Yar,3730,4350,4040
12/31/2023,Tando Muhammad Khan,3760,3940,3850
12/31/2023,Sibi,4240,4310,4275
12/31/2023,Quetta,3820,4300,4060
12/31/2023,Bara,3770,4340,4055
12/31/2023,Landi Kotal,3790,3820,3805
1/1/2024,Bunner,3880,4240,4060
1/1/2024,Mardan,3660,3840,3750
1/1/2024,Peshawar,3910,3990,3950
1/1/2024,Arifwala,4150,4170,4160
1/1/2024,Chowk Azam,3660,4140,3900
1/1/2024,Pattoki,3890,4230,4060
1/1/2024,Sahiwal,3760,3760,3760
1/1/2024,Gojra,3630,4180,3905
1/1/2024,Kamalia,3610,4260,3935
1/1/2024,Kasur,3810,3930,3870
1/1/2024,Shorkot,3970,4100,4035
1/1/2024,Sialkot,4170,4340,4255
1/1/2024,Ali Pur,3730,4000,3865
1/1/2024,AhmadPur Sharqia,4210,4320,4265
1/1/2024,Bahawalnagar,3780,4080,3930
1/1/2024,Bahawalpur,4300,4360,4330
1/1/2024,Bhakkar,3880,4070,3975
1/1/2024,Burewala,4230,4290,4260
1/1/2024,Chichawatni,4160,4360,4260
1/1/2024,Chishtian,4010,4150,4080
1/1/2024,Chakwal,4180,4260,4220
1/1/2024,Chowk Munda,3670,4070,3870
1/1/2024,Dera Ghazi Khan,3770,4260,4015
1/1/2024,Dunga Bunga,3990,4130,4060
1/1/2024,Faisalabad,3830,4170,4000
1/1/2024,Faqirwali,4010,4280,4145
1/1/2024,Fazil Pur,3780,3840,3810
1/1/2024,Fortabbas,3600,3650,3625
1/1/2024,Gujranwala,3850,4250,4050
1/1/2024,Haroonabad,3950,4290,4120
1/1/2024,Hasilpur,3960,4330,4145
1/1/2024,Islamabad,3900,4260,4080
1/1/2024,Kahror Pakka,3650,3670,3660
1/1/2024,Khanpur,3660,4270,3965
1/1/2024,khanewal,3610,4340,3975
1/1/2024,Layyah,3750,3800,3775
1/1/2024,Lahore,3830,4040,3935
1/1/2024,Lodhran,3900,4230,4065
1/1/2024,Multan,3940,4170,4055
1/1/2024,Mianwali,3770,3830,3800
1/1/2024,Mian Channu,3670,3810,3740
1/1/2024,Minchanabad,3710,3940,3825
1/1/2024,Muzaffargarh,4530,4950,4740
1/1/2024,Okara,4430,4720,4575
1/1/2024,Pakpattan Sharif,4470,4510,4490
1/1/2024,Rahim Yar Khan,4550,4930,4740
1/1/2024,Rajanpur,4560,4870,4715
1/1/2024,Rawalpindi,4700,4900,4800
1/1/2024,Sadiqabad,4410,5050,4730
1/1/2024,Sargodha,4640,4860,4750
1/1/2024,Sheikhupura,4630,4800,4715
1/1/2024,Vehari,4410,4940,4675
1/1/2024,Naushahro Feroze,4690,4870,4780
1/1/2024,Shikarpur,4430,4910,4670
1/1/2024,Sukkur,4680,5080,4880
1/1/2024,Dadu,4840,5020,4930
1/1/2024,Hyderabad,4470,4550,4510
1/1/2024,Ghotki,4740,5060,4900
1/1/2024,Jhuddo,4580,4910,4745
1/1/2024,Karachi,4610,4640,4625
1/1/2024,Kunri,4830,4980,4905
1/1/2024,Larkana,4710,4820,4765
1/1/2024,Mehrabpur,4470,4590,4530
1/1/2024,Mirpur Khas,4420,4460,4440
1/1/2024,Nawab Shah,4670,4700,4685
1/1/2024,Sakrand,4540,4840,4690
1/1/2024,Sanghar,4490,5030,4760
1/1/2024,ShahdadPur,4580,4980,4780
1/1/2024,Tando Allah Yar,4980,5030,5005
1/1/2024,Tando Muhammad Khan,4890,5030,4960
1/1/2024,Sibi,4470,4570,4520
1/1/2024,Quetta,4750,4930,4840
1/1/2024,Bara,4670,4800,4735
1/1/2024,Landi Kotal,4700,5000,4850
1/2/2024,Bunner,4600,4710,4655
1/2/2024,Mardan,4670,4800,4735
1/2/2024,Peshawar,4750,4810,4780
1/2/2024,Arifwala,4990,5090,5040
1/2/2024,Chowk Azam,4950,5020,4985
1/2/2024,Pattoki,4500,4680,4590
1/2/2024,Sahiwal,4600,4760,4680
1/2/2024,Gojra,4590,5010,4800
1/2/2024,Kamalia,4700,4770,4735
1/2/2024,Kasur,4500,5030,4765
1/2/2024,Shorkot,4890,5020,4955
1/2/2024,Sialkot,4690,4700,4695
1/2/2024,Ali Pur,4510,4940,4725
1/2/2024,AhmadPur Sharqia,4470,4880,4675
1/2/2024,Bahawalnagar,4680,4700,4690
1/2/2024,Bahawalpur,4440,5050,4745
1/2/2024,Bhakkar,4500,4800,4650
1/2/2024,Burewala,4750,5020,4885
1/2/2024,Chichawatni,4580,4950,4765
1/2/2024,Chishtian,4690,4900,4795
1/2/2024,Chakwal,4440,4680,4560
1/2/2024,Chowk Munda,4740,4740,4740
1/2/2024,Dera Ghazi Khan,4550,5110,4830
1/2/2024,Dunga Bunga,4660,4740,4700
1/2/2024,Faisalabad,4990,5010,5000
1/2/2024,Faqirwali,4440,4900,4670
1/2/2024,Fazil Pur,4590,4810,4700
1/2/2024,Fortabbas,4770,4770,4770
1/2/2024,Gujranwala,4420,4770,4595
1/2/2024,Haroonabad,4750,4920,4835
1/2/2024,Hasilpur,4900,4940,4920
1/2/2024,Islamabad,5030,5070,5050
1/2/2024,Kahror Pakka,4670,4780,4725
1/2/2024,Khanpur,4760,4790,4775
1/2/2024,khanewal,4860,5040,4950
1/2/2024,Layyah,4540,4690,4615
